"code","time","rate","species","file","file.cut"
"song",56.3105,1.40745953553835,"Phaethornis yaruqui","entry0003_2000-01-01T000000_000.csv","entry0003_2000-01-01T000000_000.csv-1"
"wag",56.3105,3.51864883884588,"Phaethornis yaruqui","entry0003_2000-01-01T000000_000.csv","entry0003_2000-01-01T000000_000.csv-1"
"song",0,1,"Phaethornis yaruqui","entry0004_2016-06-10T112051_746.csv","entry0004_2016-06-10T112051_746.csv-1"
"wag",0,3.25,"Phaethornis yaruqui","entry0004_2016-06-10T112051_746.csv","entry0004_2016-06-10T112051_746.csv-1"
"song",1.6,0.75,"Phaethornis yaruqui","entry0004_2016-06-10T112051_746.csv","entry0004_2016-06-10T112051_746.csv-1"
"wag",1.6,3.25,"Phaethornis yaruqui","entry0004_2016-06-10T112051_746.csv","entry0004_2016-06-10T112051_746.csv-1"
"song",3.2,0.75,"Phaethornis yaruqui","entry0004_2016-06-10T112051_746.csv","entry0004_2016-06-10T112051_746.csv-1"
"wag",3.2,3.25,"Phaethornis yaruqui","entry0004_2016-06-10T112051_746.csv","entry0004_2016-06-10T112051_746.csv-1"
"song",4.8,1,"Phaethornis yaruqui","entry0004_2016-06-10T112051_746.csv","entry0004_2016-06-10T112051_746.csv-1"
"wag",4.8,3.5,"Phaethornis yaruqui","entry0004_2016-06-10T112051_746.csv","entry0004_2016-06-10T112051_746.csv-1"
"song",6.4,1.25,"Phaethornis yaruqui","entry0004_2016-06-10T112051_746.csv","entry0004_2016-06-10T112051_746.csv-1"
"wag",6.4,3.5,"Phaethornis yaruqui","entry0004_2016-06-10T112051_746.csv","entry0004_2016-06-10T112051_746.csv-1"
"song",8,1.25,"Phaethornis yaruqui","entry0004_2016-06-10T112051_746.csv","entry0004_2016-06-10T112051_746.csv-1"
"wag",8,3.25,"Phaethornis yaruqui","entry0004_2016-06-10T112051_746.csv","entry0004_2016-06-10T112051_746.csv-1"
"song",9.6,1,"Phaethornis yaruqui","entry0004_2016-06-10T112051_746.csv","entry0004_2016-06-10T112051_746.csv-1"
"wag",9.6,3.25,"Phaethornis yaruqui","entry0004_2016-06-10T112051_746.csv","entry0004_2016-06-10T112051_746.csv-1"
"song",11.2,1,"Phaethornis yaruqui","entry0004_2016-06-10T112051_746.csv","entry0004_2016-06-10T112051_746.csv-1"
"wag",11.2,3.25,"Phaethornis yaruqui","entry0004_2016-06-10T112051_746.csv","entry0004_2016-06-10T112051_746.csv-1"
"song",12.8,1.25,"Phaethornis yaruqui","entry0004_2016-06-10T112051_746.csv","entry0004_2016-06-10T112051_746.csv-1"
"wag",12.8,3.25,"Phaethornis yaruqui","entry0004_2016-06-10T112051_746.csv","entry0004_2016-06-10T112051_746.csv-1"
"song",14.4,1,"Phaethornis yaruqui","entry0004_2016-06-10T112051_746.csv","entry0004_2016-06-10T112051_746.csv-1"
"wag",14.4,3.25,"Phaethornis yaruqui","entry0004_2016-06-10T112051_746.csv","entry0004_2016-06-10T112051_746.csv-1"
"song",16,1,"Phaethornis yaruqui","entry0004_2016-06-10T112051_746.csv","entry0004_2016-06-10T112051_746.csv-1"
